nct_id,Title,Conditions,Phases,Enrollment,DurationWeeks,Arms,DrugClass,Comparator,Masking,Allocation,InterventionModel,SponsorType,Region,PrimaryEndpoint,BaselineHbA1c,HbA1c_SD,EffectSize_HbA1c,PValue_HbA1c,Study Status,Study Results,label_reason,success_label_basic
NCT19552832,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,135,13,2,NovelSmallMolecule,StandardOfCare,Open Label,Non-Randomized,Crossover,Industry,Asia,HbA1c change,7.85,0.95,,,Completed,Has Results,Not met / not primary / not significant,0
NCT18104307,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,81,20,3,NovelSmallMolecule,DoseComparison,Double,Randomized,Crossover,Government,Asia,HbA1c change,7.37,1.08,-0.291,0.08632519605338107,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT79439716,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,163,15,4,Insulin,Placebo,Double,Randomized,Parallel,Industry,Asia,Composite,8.46,1.43,-0.706,7.893169312267467e-06,Completed,Has Results,Not met / not primary / not significant,0
NCT75012340,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,71,9,4,Other,Active,Double,Randomized,Parallel,Academic,North America,FPG change,7.18,1.72,-0.811,0.004945479028600874,Recruiting,Has Results,Not met / not primary / not significant,0
NCT72709370,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,141,27,4,TZD,StandardOfCare,Double,Randomized,Parallel,Industry,Multi-Region,HbA1c change,8.17,1.29,-1.153,5.2513549064769904e-14,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT51568950,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,83,16,2,NovelSmallMolecule,Active,Single,Randomized,Crossover,Industry,North America,HbA1c change,8.04,1.37,-0.907,2.063268352503478e-05,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT74535265,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,116,16,2,SGLT2i,Placebo,Triple,Randomized,Single Group,Industry,Multi-Region,HbA1c change,8.74,1.53,-0.637,0.0015115348027104902,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT24514459,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,81,14,6,DPP-4i,Placebo,Double,Randomized,Parallel,Academic,North America,HbA1c change,9.79,1.16,-0.936,2.97261445236785e-07,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT91055950,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,102,23,4,Insulin,Placebo,Triple,Randomized,Crossover,Academic,Asia,HbA1c change,7.04,1.49,,,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT55094029,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,61,13,2,GLP-1RA,Placebo,Double,Randomized,Single Group,Government,Multi-Region,CGM TIR,9.99,1.3,-1.066,5.702268134455402e-06,Completed,Has Results,Not met / not primary / not significant,0
NCT94424624,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,111,7,3,DPP-4i,DoseComparison,Open Label,Randomized,Parallel,Other,North America,FPG change,8.24,1.14,-0.422,0.005596233940810547,Completed,Has Results,Not met / not primary / not significant,0
NCT23708089,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,101,12,2,Other,DoseComparison,Double,Randomized,Parallel,Academic,North America,HbA1c change,8.64,1.19,-1.362,3.3306690738754696e-16,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT54759706,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,78,24,6,TZD,Placebo,Open Label,Randomized,Single Group,Academic,Multi-Region,FPG change,7.41,0.64,-0.467,6.122332309455025e-06,Terminated,No Results Posted,Not met / not primary / not significant,0
NCT72668833,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,97,21,3,GLP-1RA,Active,Double,Randomized,Single Group,Industry,North America,FPG change,9.1,1.17,-1.075,1.7605494839756375e-10,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT54606327,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,106,14,2,SGLT2i,Placebo,Double,Randomized,Parallel,Other,North America,HbA1c change,8.43,0.71,,,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT50154064,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,75,24,2,SGLT2i,DoseComparison,Single,Randomized,Parallel,Academic,Europe,FPG change,8.36,0.69,-0.989,0.0,Completed,Has Results,Not met / not primary / not significant,0
NCT24959268,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,94,20,2,GLP-1RA,Placebo,Triple,Randomized,Parallel,Government,Multi-Region,HbA1c change,7.04,1.15,-1.137,1.1328271654065247e-11,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT44291909,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,63,14,3,Other,DoseComparison,Open Label,Randomized,Parallel,Industry,Asia,CGM TIR,8.45,0.82,-0.836,1.1312890291215183e-08,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT31488963,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,286,15,4,DPP-4i,StandardOfCare,Double,Randomized,Parallel,Industry,Europe,HbA1c change,8.99,1.1,-0.772,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT37136087,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,160,18,6,SGLT2i,Placebo,Double,Randomized,Parallel,Academic,Other,HbA1c change,8.23,1.13,-1.024,6.661338147750939e-16,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT71533058,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,112,11,6,TZD,Placebo,Open Label,Randomized,Parallel,Industry,Europe,HbA1c change,9.22,1.15,-0.919,1.9572107268217565e-09,"Active, not recruiting",Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT66725432,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,169,16,2,GLP-1RA,StandardOfCare,Double,Randomized,Parallel,Industry,Europe,HbA1c change,9.19,0.87,-0.947,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT64647678,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,41,18,2,SGLT2i,Placebo,Double,Randomized,Parallel,Other,Europe,HbA1c change,7.95,1.32,-1.053,0.000317977730337593,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT42563134,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,31,6,4,NovelSmallMolecule,Placebo,Open Label,Randomized,Parallel,Industry,Europe,CGM TIR,9.52,1.08,-0.712,0.009323470394466238,Completed,Has Results,Not met / not primary / not significant,0
NCT96372331,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,83,15,4,TZD,DoseComparison,Double,Randomized,Crossover,Industry,Europe,HbA1c change,8.43,1.21,-0.933,6.746590275330533e-07,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT17888492,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,53,14,2,Other,Active,Single,Non-Randomized,Parallel,Industry,Asia,HbA1c change,8.43,0.8,-0.508,0.0011054788561861706,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT40833169,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,89,22,2,TZD,Placebo,Double,Randomized,Parallel,Industry,North America,Composite,8.47,1.06,-0.735,3.4336941033830115e-06,Completed,Has Results,Not met / not primary / not significant,0
NCT20620531,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,109,5,3,DPP-4i,Placebo,Open Label,Randomized,Parallel,Academic,Asia,HbA1c change,8.45,1.37,-0.704,0.00015520834369253667,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT40504942,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,151,14,2,NovelSmallMolecule,Placebo,Triple,Randomized,Parallel,Other,North America,HbA1c change,6.56,1.34,-0.264,0.0874754370454236,Completed,Has Results,Not met / not primary / not significant,0
NCT96570788,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,60,13,2,Other,DoseComparison,Double,Randomized,Parallel,Other,Europe,HbA1c change,8.27,0.9,-0.676,3.984228511100252e-05,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT42963717,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,119,22,3,NovelSmallMolecule,Placebo,Open Label,Randomized,Parallel,Academic,North America,HbA1c change,7.45,0.96,-0.322,0.00997085437567824,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT91772261,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,100,16,6,Other,Placebo,Single,Randomized,Parallel,Academic,Asia,HbA1c change,9.54,0.85,-0.651,6.838972932410314e-08,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT54555908,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,116,27,6,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Industry,Multi-Region,FPG change,9.51,0.94,-1.147,0.0,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT72973641,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,79,20,4,NovelSmallMolecule,DoseComparison,Double,Randomized,Parallel,Government,Europe,HbA1c change,9.0,0.75,-0.831,3.3836267121500896e-12,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT51167573,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,185,14,2,GLP-1RA,Placebo,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.23,1.07,-1.222,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT33928296,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,95,17,4,NovelSmallMolecule,StandardOfCare,Open Label,Randomized,Single Group,Industry,North America,HbA1c change,7.69,1.26,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT97225872,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,221,14,2,DPP-4i,Active,Open Label,Randomized,Crossover,Other,Multi-Region,Weight,7.94,0.9,-0.174,0.04321610029895562,Completed,Has Results,Not met / not primary / not significant,0
NCT33717237,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,70,21,2,Insulin,StandardOfCare,Triple,Randomized,Parallel,Government,North America,HbA1c change,9.76,1.08,-1.813,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT80087580,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,139,8,3,TZD,DoseComparison,Double,Randomized,Parallel,Industry,Multi-Region,CGM TIR,7.92,1.04,-0.81,1.0195466693119215e-10,Completed,Has Results,Not met / not primary / not significant,0
NCT33502599,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,97,11,2,Other,StandardOfCare,Double,Randomized,Parallel,Academic,Europe,HbA1c change,6.75,1.36,-0.028,0.8881498176491645,Completed,Has Results,Not met / not primary / not significant,0
NCT74520116,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,86,19,2,Other,DoseComparison,Double,Randomized,Parallel,Industry,North America,HbA1c change,9.12,0.95,-0.471,0.0011010973384644185,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT81010589,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,132,23,2,SGLT2i,Placebo,Triple,Randomized,Parallel,Industry,Multi-Region,HbA1c change,9.45,0.96,-1.094,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT50442534,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,87,4,4,NovelSmallMolecule,StandardOfCare,Open Label,Randomized,Parallel,Industry,Europe,HbA1c change,9.56,0.89,-0.576,1.930361317470375e-05,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT76322763,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,30,24,3,NovelSmallMolecule,Placebo,Open Label,Non-Randomized,Parallel,Industry,North America,HbA1c change,9.13,0.82,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT34501740,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,30,15,2,SGLT2i,Placebo,Triple,Randomized,Parallel,Industry,Other,FPG change,9.24,1.23,-0.314,0.32331721495967525,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT17132816,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,176,5,3,GLP-1RA,StandardOfCare,Triple,Randomized,Parallel,Industry,North America,HbA1c change,8.44,1.07,-0.966,0.0,"Active, not recruiting",Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT18675186,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,173,4,4,GLP-1RA,DoseComparison,Single,Randomized,Crossover,Industry,Europe,HbA1c change,6.95,1.11,-0.814,1.0394352045750566e-11,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT50232134,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,233,7,5,NovelSmallMolecule,Active,Double,Randomized,Crossover,Industry,Europe,HbA1c change,8.42,1.42,-0.061,0.6413640505201248,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT91234214,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,99,16,5,DPP-4i,Placebo,Double,Randomized,Parallel,Other,Asia,HbA1c change,8.84,1.43,-0.709,0.0005004769438592405,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT21481916,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,56,16,3,Other,Placebo,Double,Randomized,Parallel,Academic,Multi-Region,HbA1c change,8.31,0.69,-0.639,9.002116588829878e-07,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT51019865,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,82,20,3,DPP-4i,Placebo,Open Label,Randomized,Parallel,Government,North America,HbA1c change,8.27,1.26,-0.275,0.1625319116319205,Completed,Has Results,Not met / not primary / not significant,0
NCT73362884,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,100,13,6,Other,Placebo,Double,Randomized,Parallel,Industry,Multi-Region,HbA1c change,7.73,1.16,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT28212702,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,63,9,5,DPP-4i,Placebo,Single,Randomized,Parallel,Academic,Asia,HbA1c change,7.7,0.98,-0.293,0.09490205480420999,Completed,Has Results,Not met / not primary / not significant,0
NCT74945475,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,209,14,2,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Government,Other,HbA1c change,9.69,1.18,-0.355,0.0021174729284875182,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT37536095,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,273,16,4,GLP-1RA,Placebo,Open Label,Randomized,Parallel,Industry,Multi-Region,HbA1c change,9.71,0.67,-1.246,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT82779466,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,123,17,4,Insulin,StandardOfCare,Open Label,Randomized,Single Group,Industry,Multi-Region,HbA1c change,8.4,1.47,-0.459,0.01402191615022963,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT62129760,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,99,11,2,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Industry,Asia,HbA1c change,8.6,1.23,-0.424,0.015269589701244812,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT59221653,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,56,21,4,Other,DoseComparison,Single,Randomized,Parallel,Industry,Europe,Weight,7.71,0.88,-0.36,0.0311176064620734,Completed,Has Results,Not met / not primary / not significant,0
NCT25909550,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,200,12,3,NovelSmallMolecule,Active,Double,Randomized,Parallel,Industry,Europe,HbA1c change,8.85,0.95,-0.746,4.9960036108132044e-15,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT51688531,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,103,11,2,GLP-1RA,Placebo,Open Label,Randomized,Parallel,Industry,Asia,CGM TIR,9.63,0.67,-0.829,0.0,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT87095284,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,87,13,3,DPP-4i,Placebo,Triple,Randomized,Parallel,Industry,Europe,HbA1c change,7.33,1.02,-0.355,0.022040265392717417,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT11757159,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,124,22,5,GLP-1RA,Placebo,Double,Non-Randomized,Parallel,Academic,Multi-Region,HbA1c change,8.72,0.98,-1.204,0.0,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT78266756,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,76,15,2,GLP-1RA,DoseComparison,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.78,0.77,-1.13,0.0,"Active, not recruiting",Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT54348614,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,106,12,4,NovelSmallMolecule,Placebo,Open Label,Randomized,Parallel,Industry,Multi-Region,HbA1c change,8.77,1.29,-1.221,6.462164137133186e-12,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT74751665,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,52,22,4,NovelSmallMolecule,Placebo,Single,Randomized,Parallel,Academic,North America,FPG change,9.55,1.42,-1.452,1.8075518670723767e-07,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT69696820,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,162,29,2,NovelSmallMolecule,DoseComparison,Double,Randomized,Crossover,Industry,Other,CGM TIR,9.83,1.09,-0.908,7.66053886991358e-14,Completed,Has Results,Not met / not primary / not significant,0
NCT48888373,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,95,17,3,NovelSmallMolecule,DoseComparison,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.24,1.02,-1.041,2.4302782009044677e-12,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT37780047,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,168,23,4,NovelSmallMolecule,Placebo,Single,Randomized,Parallel,Industry,North America,FPG change,8.87,1.21,-0.338,0.010438871462147725,Completed,Has Results,Not met / not primary / not significant,0
NCT66457795,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,91,22,3,NovelSmallMolecule,Placebo,Open Label,Non-Randomized,Parallel,Industry,Multi-Region,HbA1c change,8.46,1.1,-0.468,0.003934090293385872,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT22620184,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,94,12,2,GLP-1RA,Placebo,Double,Randomized,Parallel,Industry,Multi-Region,HbA1c change,7.96,0.83,-1.474,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT62568816,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,58,16,6,SGLT2i,Placebo,Single,Randomized,Parallel,Industry,Multi-Region,CGM TIR,8.59,0.94,-0.615,0.0004096712260559521,Completed,Has Results,Not met / not primary / not significant,0
NCT18522522,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,140,8,3,TZD,Placebo,Double,Randomized,Single Group,Industry,Other,HbA1c change,8.87,1.03,-0.777,2.343051308528743e-10,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT68486193,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,67,15,3,NovelSmallMolecule,Active,Open Label,Non-Randomized,Parallel,Other,North America,HbA1c change,8.55,1.16,-0.515,0.010263254150278733,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT66587075,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,80,12,2,GLP-1RA,DoseComparison,Single,Randomized,Parallel,Other,Multi-Region,Weight,7.78,1.1,-1.145,5.0813131480254015e-11,Completed,Has Results,Not met / not primary / not significant,0
NCT17599988,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,100,14,2,Insulin,Placebo,Double,Randomized,Parallel,Industry,Europe,Composite,8.08,1.15,-1.19,2.916555885690286e-13,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT78173909,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,105,12,2,NovelSmallMolecule,Active,Double,Non-Randomized,Parallel,Industry,Asia,HbA1c change,8.08,0.72,-0.652,4.8147041908919164e-11,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT47422665,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,46,14,4,GLP-1RA,Placebo,Single,Randomized,Parallel,Industry,Europe,HbA1c change,7.81,1.27,-1.205,5.004007786357789e-06,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT80819780,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,90,19,4,DPP-4i,StandardOfCare,Double,Randomized,Parallel,Government,North America,CGM TIR,8.62,1.1,-0.483,0.0032412789524511876,Completed,Has Results,Not met / not primary / not significant,0
NCT13745275,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,142,15,4,Other,Active,Double,Randomized,Parallel,Academic,Asia,HbA1c change,8.69,1.74,-0.3,0.14619398800495664,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT26151084,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,84,5,2,NovelSmallMolecule,StandardOfCare,Double,Randomized,Parallel,Industry,Multi-Region,HbA1c change,9.09,1.0,-0.92,2.7976576610910797e-09,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT54459173,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,90,12,2,SGLT2i,DoseComparison,Double,Randomized,Parallel,Industry,North America,HbA1c change,7.8,1.18,-1.218,4.490186000793983e-12,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT26940265,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,107,7,5,NovelSmallMolecule,Placebo,Triple,Randomized,Parallel,Industry,Multi-Region,Weight,8.0,1.81,-0.806,0.0011125538731449058,Completed,Has Results,Not met / not primary / not significant,0
NCT39687508,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,94,17,3,SGLT2i,Placebo,Double,Randomized,Parallel,Government,Asia,Weight,9.49,1.15,-0.738,1.052778470045368e-05,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT69453913,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,63,19,2,NovelSmallMolecule,Placebo,Triple,Randomized,Crossover,Government,North America,FPG change,8.28,1.08,-0.779,5.387676564971855e-05,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
